,Amount raised,Campaign end date,Campaign target,Category,Notes,Platform,Project,Rank,References
46,"$2,049,721","Jan 8, 2013",$35K,Board game,"Cooperative board game set in a nightmare-horror world. Fight for your life, scavenge, craft, and band together to survive.",Kickstarter,Kingdom Death: Monster,110,[164]
47,"$1,972,706","Sep 1, 2015",$1M,Other,"Scientific research project to find a cure for CLN6-specific rare genetic disease, also called Batten disease, which has no cure.",Experiment.com,Curing Batten Disease,111,[165][166]
48,"$1,961,464","Aug 26, 2013",$1M,Computing hardware,Canary is a device packed with smart sensors that empowers users to keep their homes safe and secure — controlled through mobile devices.,Indiegogo,Canary home security,112,[167]
49,"€1,930,577","Jul 6, 2015","€1,600,000,000",Other,Campaign to fund the bailout charge for the Greek financial crisis.,Indiegogo,Greek Bailout Fund,113,[168]
50,"$1,911,827","May 15, 2014",$1.5M,Movie,Feature length comedy based on the spike TV series,Kickstarter,Blue Mountain State: The Movie,114,[169]
51,"$1,836,447","Apr 29, 2012",$400K,Video game,"Single-player tactical role-playing game in the Shadowrun universe, not to be confused with Shadowrun Online.",Kickstarter,Shadowrun Returns,115,[170]
52,"£1,578,316[172]","Jan 4, 2013",£1.25M[171],Video game,"Space trading and combat simulator from Frontier Developments, fourth game in the Elite series.","Kickstarter, Independent",Elite: Dangerous,116,
53,"$1,810,295","Nov 6, 2015",$33K,Board game,Scythe is a board game for 1-5 competitors by Jamey Stegmaier,Kickstarter,Scythe,117,[173]
54,"$1,767,042","June 19, 2015",$50K,Computing hardware,"Provides home security, entertainment enhancement, and ambiance control. The first smart home to incorporate NFC-based technology to simplify the device pairing process.",Indiegogo,Oomi,118,[174]
55,"$1,766,204","March 26, 2015",$800k,Video Game,"Throne War PC MMO from ArtCraft Entertainment, Inc.",Kickstarter,Crowfall,119,[175]
56,"$1,739,149","August 8, 2014",$30K,Computing hardware,Tracking device for effortless organization.,Indiegogo,TrackR bravo,120,[176]
57,"$1,730,395","Jun 3, 2017",$750k,Game,Upcoming MMORPG Ashes of Creation hit its goal of 750 thousand dollars in less than 12h,Intrepid Studios,Ashes of Creation,121,[177][178][179]
58,"$1,703,914","Jun 3, 2017",$30k,Watch,The Most REBELLIOUS Swiss Automatic Watch Ever - LIV Watches Raised 470K in just 48 hours.,LIV Swiss Watches,Rebel,122,[180][181]
59,"$1,664,375","Jul 20, 2013",$100K,Computing hardware,"The first Medical Tricorder. A scanner packed with sensors designed to read your vital signs and send them wirelessly to your smartphone in a few seconds, any time, anywhere.",Indiegogo,Scanadu Scout,123,[182]
60,"€1,618,945",,$100K,Computing hardware,,Companisto,Panono,124,[183]
61,"$1,578,950","Aug 10, 2013",$550K,Video game,Fantasy turn-based tactics video game set in the Warmachine universe.,Kickstarter,Warmachine: Tactics,125,[184][185]
62,"$1,538,425","Mar 10, 2013",$850K,Video game,"Adventure game, third game in The Longest Journey series.",Kickstarter,Dreamfall Chapters: The Longest Journey,126,[186]
63,"$1,524,510",Ongoing,"$1,000,000",Other,A charitable fundraiser partnering with Turkish Airlines to send aid to disadvantaged Somalian citizens.,GoFundMe,LOVE ARMY FOR SOMALIA,127,[187]
64,"$1,522,160","Dec 19, 2013",$100K,Computing hardware,Mass manufacture a DIY computer kit,Kickstarter,Kano,128,[188][189][190]
65,"$1,505,366","Jun 30, 2013",$1M,Computing hardware,Launching and maintaining a publicly accessible Space Telescope. Partly funded by agreeing to take picture of funders' personal image from space with any background except for the sun. Launch is scheduled in 2015,Kickstarter,ARKYD: A Space Telescope for Everyone,129,[191]
66,"$1,504,616","Aug 12, 2013",$100K,Smartwatch,Smartwatch with voice and gesture control,Indiegogo,Kreyos,130,[192]
67,"€1,500,000",,$500K,Computing hardware,12 kg light E-Bike,Companisto,Freygeist,131,[193]
68,"$1,489,071","Nov 30, 2014",$48K,Computing hardware,A compact portable wireless speaker with claimed ‘better than stereo’ sound.,Indiegogo,Mass Fidelity,132,[194]
69,"$1,464,706","Feb 11, 2012",$75K,Computing hardware,Elevation Dock: The Best Dock For iPhone,Kickstarter,Elevation Dock,133,[195]
70,"€1,246,153","Nov 12, 2017",€90K,Video game,"Fantasy role-playing video game based on the French web series Noob, created by Fabien Fournier.",Ulule,"Noob, le jeu vidéo !",134,[196]
71,"$1,445,889","Aug 2, 2013",$1M,Movie,"American comedy-drama film co-written, produced, starring and directed by Adam Carolla and co-written with Kevin Hench. It is a comedy about the lives of aging road comics. Adam has since confirmed through a press conference that the film will co-star David Alan Grier, Illeana Douglas, Diane Farr, and Larry Miller.",FundAnything,Road Hard,135,[197]
72,"$1,440,435","Jul 27, 2014",$37K,Other,"A typography and publishing project by Adam Lewis Greene, consisting of ""the Biblical Literature designed & crafted for reading, separated into four elegant volumes, and free of all numbers, notes, etc.,"" i.e., the Bible published in four volumes, using a modified American Standard Version and published without chapter or verse numbers.",Kickstarter,BIBLIOTHECA,136,[198][199]
73,"$1,438,765","Jun 29, 2013",$100K,3D printing,Consumer 3D Printer created by Pirate3D,Kickstarter,The Buccaneer,137,[200]
74,"$1,418,910","Aug 21, 2013",$1.25M,Movie,Independent romantic horror comedy directed by Spike Lee,Kickstarter,The Newest Hottest Spike Lee Joint,138,.[201]
75,"$1,414,154","May 10, 2014",$500K,Movie,Season 3 of Tabletop starring Wil Wheaton,Indiegogo,Tabletop Season 3 - With Wil Wheaton!,139,[202]
76,"$1,396,149","Aug 24, 2013",$100K,Other,Lomography recreation of the Petzval camera lens for modern cameras. Shipped to backers in the first half of 2014.,Kickstarter,Petzval Portrait Lens,140,[203]
77,"$1,370,461","Sep 29, 2012",$850K,Other,"Buy Nikola Tesla's old laboratory, known as the Wardenclyffe Tower, for turning it into a museum. Property purchased on May 2, 2013.",Indiegogo,Tesla Museum,141,[204]
78,"$1,353,024","Jun 10, 2016",$10K,Board game,Card game version of the popular show produced by Rooster Teeth.,Kickstarter,"Million Dollars, But... The Game",142,[205]
79,"$1,350,700","Nov 30, 2015",$900K,Video game,A complete remake of the genre defining classic computer game from 1994,Kickstarter,System Shock,143,[206]
80,"$1,343,742","Apr 5, 2017",$500k,Wireless hardware,"Software defined radio board for 2G, 3G 4G, 5G cellular / various IoT / WiFi / generic wireless systems between 100 kHz and 3.8 GHz. Backed by EE and Ubuntu. Crowd Supply's first $1m crowd fund.",Crowd Supply,LimeSDR,144,[207]
81,"$1,330,293","Nov 30, 2015",$100K,Other,Heated jacket,Kickstarter,Ravean,145,[208][209]
82,"$1,321,306","Nov 16, 2013",$1.1M,Video game,Adventure game from the creators of Myst and Riven,Kickstarter,Obduction,146,[210]
83,"$1,314,542","Nov 14, 2012",$100K,Computing hardware,"WiFi enabled, multi-color, energy efficient LED light bulb controlled with an iPhone or Android.",Kickstarter,LIFX,147,[211]
84,"$1,260,148","Jan 21, 2014",$160K,Computing hardware,"Wireless HDMI screen-sharing on a TV, Projector or Monitor, compatible with almost all operating systems and computers.",Indiegogo,Airtame,148,[212][213]
85,"$1,255,444","Nov 3, 2015",$250K,Video game,"English localization of Muv-Luv visual novel trilogy, consisting of Muv-Luv (which comes in two parts: ""Muv-Luv Extra"" and ""Muv-Luv Unlimited"")  and its sequel Muv-Luv Alternative.",Kickstarter,Muv-Luv,149,[214]
86,"$1,254,120","Feb 21, 2012",$57.75K,Other,"Reprint Rich Burlew's out-of-print ""The Order of the Stick"" comic books to reach new readers",Kickstarter,The Order of the Stick,150,[215]
87,"$1,229,074","Sep 8, 2013",$69K,Computing hardware,An OpenWRT Linux-based hardware adapter for unifying USB-connected storage as Network-attached storage.,Kickstarter,Lima,151,[216][217]
88,"$1,229,015","Jun 27, 2013",$725K,Video game,"Fantasy turn-based tactics video game.  Double Fine Productions' second Kickstarter campaign, after Double Fine Adventure in March 2012.",Kickstarter,Massive Chalice,152,[218][219]
89,"£731,690","May 29, 2014",£30K,3D printing,"LIX is The Smallest 3D Printing Pen in the World, it enables you to doodle in the air. This professional tool offers you the comfort and pushes your creativity to another level.",Kickstarter,LIX,153,[220][221]
90,"$1,209,423","Sep 22, 2012",$250K,Computing hardware,,Kickstarter,SmartThings,154,[222][223]
91,"$1,204,726","Feb 17, 2015",$100K,Video game,Harebrained Schemes' next Single-player tactical role-playing game in the Shadowrun universe.  Developed with an improved version of the Shadowrun Returns engine.,Kickstarter,Shadowrun: Hong Kong,155,[224]
92,"$1,192,793","May 31, 2012",$100K,Other,"Allows Amanda Palmer to create a new record, art book, and tour.",Kickstarter,Theatre Is Evil,156,[225]
93,"$1,190,672","Mar 26, 2015",$100K,Computing hardware,"""Smart"" bed cover that allows for bed cooling/heating and IFTTT integrations to other integrated Internet of Things products.",Indiegogo,Luna Sleep,157,[226]
94,"$1,140,975","Dec 31, 2012",$110K,Computing hardware,"Palm-sized UAV that flies like a bird and hovers like an insect; Designed for aerial photography, advanced gaming, R&D and security.",Indiegogo,Robot Dragonfly,158,[227]
95,"$1,123,585","Jun 26, 2015",$325K,Movie,Military movie.,Indiegogo,Range 15,159,[228]
96,"$1,119,029",Feb 19 2016,"$40,000",Watches,At the time this campaign ended the LIV GX1-A was the most funded Swiss timepiece in crowdfunding HISTORY.,Kickstarter,LIV Swiss Watches,160,
97,"$1,116,258",Ongoing,$100K,Computing hardware,"More than just a router. The open-source center of your home. Turris Omnia is a powerful and extensible open source router. It features an open Linux-based operating system with automatic updates and extra security measures. Besides being a router, Turris Omnia is powerful enough to serve as small home server.",Indiegogo,Turris Omnia,161,[229]
98,"$1,110,820","Dec 11th, 2015",$50K,Camera Accessory,Remote camera trigger which allows DSLR cameras to be controlled via a smartphone. Campaign funded between November and December 2015.,Kickstarter,Pulse,162,[230]
99,"$1,109,351","Jul 22, 2013",$150K,Video game,Omnidirectional treadmill-like device for use with virtual reality head-mounted displays such as the Oculus Rift.,Kickstarter,Omni,163,[231][232]
100,"$1,095,143.40",13 May 2016,$700K / Pre-order on BackerKit,Video game,A survival horror multiplayer video game in which 8 people play: 1 plays Jason Voorhees while the rest play counselors at Camp Crystal Lake trying to survive,Kickstarter BackerKit,Friday the 13th: The Game,164,[233][234]
101,"$1,092,098","May 10, 2013",$31.5K,3D printing,"A sturdy, customizable 3D printer that is easy to use and affordable for all.",Kickstarter,RigidBot,165,[235]
102,"$1,091,194","Jan 14, 2013",$1M,Video game,"Sandbox style MMORPG in the Pathfinder Roleplaying Game universe.  Second successful Kickstarter campaign for the game, contributing towards the full version.",Kickstarter,Pathfinder Online,166,[236][237]
103,"€940,650",,€250K,Food,Molecular ice cream,Companisto,Kyl21,167,[238]
104,"$1,053,830","Apr 21, 2013",$50K,Other,A unisex sweatshirt guaranteed for a decade,Kickstarter,THE 10-YEAR HOODIE,168,[239]
105,"$1,047,827","Jan 31, 2013",$1.25M,Other,"As part of the effort to help rebuild Seaside Heights, New Jersey - the heart of the Jersey Shore, which was devastated by Hurricane Sandy",Indiegogo,Restore the Shore,169,[240]
106,"$1,026,292","Feb 22, 2013",$200K,Computing hardware,A 0.80mm thin flexible wristwatch with an E Ink display housed in a single piece of stainless steel.,Kickstarter,CST-01,170,[241]
107,"$1,290,439","Nov 1, 2013",$100K,Computing hardware,"Created by Occipital, a Structured light 3D scanner for iPad and other mobile devices that captures objects, people and rooms in 3D for augmented reality games, 3D scanning and indoor mapping.",Kickstarter,Structure Sensor,171,[242]
108,"$1,035,095[243]","Jun 10, 2017",$1M,Open source social networking service,Broke the regulation crowdfunding record for fastest to raise $1 million[244],Equity Crowdfunding,Minds.com,172,
